
 10%|███████████████                                                                                                                                     | 102/1000 [00:01<00:13, 66.53it/s]
epoch :: eval 160 loss:  6.58347416901961e-05
epoch :: eval 170 loss:  6.58347416901961e-05
epoch :: eval 180 loss:  6.58347416901961e-05
epoch :: eval 190 loss:  6.58347416901961e-05
epoch :: eval 200 loss:  6.58347416901961e-05
epoch :: eval 210 loss:  6.58347416901961e-05
epoch :: eval 220 loss:  6.58347416901961e-05
epoch :: eval 230 loss:  6.58347416901961e-05
epoch :: eval 240 loss:  6.58347416901961e-05
epoch :: eval 250 loss:  6.58347416901961e-05
epoch :: eval 260 loss:  6.58347416901961e-05
epoch :: eval 270 loss:  6.58347416901961e-05
epoch :: eval 280 loss:  6.58347416901961e-05
epoch :: eval 290 loss:  6.58347416901961e-05
epoch :: eval 300 loss:  6.58347416901961e-05
epoch :: eval 310 loss:  6.58347416901961e-05
epoch :: eval 320 loss:  6.58347416901961e-05
epoch :: eval 330 loss:  6.58347416901961e-05
epoch :: eval 340 loss:  6.58347416901961e-05
epoch :: eval 350 loss:  6.58347416901961e-05
epoch :: eval 360 loss:  6.58347416901961e-05
epoch :: eval 370 loss:  6.58347416901961e-05
epoch :: eval 380 loss:  6.58347416901961e-05
epoch :: eval 390 loss:  6.58347416901961e-05
epoch :: eval 400 loss:  6.58347416901961e-05
epoch :: eval 410 loss:  6.58347416901961e-05
epoch :: eval 420 loss:  6.58347416901961e-05
epoch :: eval 430 loss:  6.58347416901961e-05
epoch :: eval 440 loss:  6.58347416901961e-05
epoch :: eval 450 loss:  6.58347416901961e-05
epoch :: eval 460 loss:  6.58347416901961e-05
epoch :: eval 470 loss:  6.58347416901961e-05
epoch :: eval 480 loss:  6.58347416901961e-05
epoch :: eval 490 loss:  6.58347416901961e-05
epoch :: eval 500 loss:  6.58347416901961e-05
epoch :: eval 510 loss:  6.58347416901961e-05
epoch :: eval 520 loss:  6.58347416901961e-05
epoch :: eval 530 loss:  6.58347416901961e-05
epoch :: eval 540 loss:  6.58347416901961e-05
epoch :: eval 550 loss:  6.58347416901961e-05
epoch :: eval 560 loss:  6.58347416901961e-05
epoch :: eval 570 loss:  6.58347416901961e-05
epoch :: eval 580 loss:  6.58347416901961e-05
epoch :: eval 590 loss:  6.58347416901961e-05
epoch :: eval 600 loss:  6.58347416901961e-05
epoch :: eval 610 loss:  6.58347416901961e-05
epoch :: eval 620 loss:  6.58347416901961e-05
epoch :: eval 630 loss:  6.58347416901961e-05
epoch :: eval 640 loss:  6.58347416901961e-05
epoch :: eval 650 loss:  6.58347416901961e-05
epoch :: eval 660 loss:  6.58347416901961e-05
epoch :: eval 670 loss:  6.58347416901961e-05
epoch :: eval 680 loss:  6.58347416901961e-05
epoch :: eval 690 loss:  6.58347416901961e-05
epoch :: eval 700 loss:  6.58347416901961e-05
epoch :: eval 710 loss:  6.58347416901961e-05
epoch :: eval 720 loss:  6.58347416901961e-05
epoch :: eval 730 loss:  6.58347416901961e-05
epoch :: eval 740 loss:  6.58347416901961e-05
epoch :: eval 750 loss:  6.58347416901961e-05
epoch :: eval 760 loss:  6.58347416901961e-05
epoch :: eval 770 loss:  6.58347416901961e-05
epoch :: eval 780 loss:  6.58347416901961e-05
epoch :: eval 790 loss:  6.58347416901961e-05
epoch :: eval 800 loss:  6.58347416901961e-05
epoch :: eval 810 loss:  6.58347416901961e-05
epoch :: eval 820 loss:  6.58347416901961e-05
epoch :: eval 830 loss:  6.58347416901961e-05
epoch :: eval 840 loss:  6.58347416901961e-05
epoch :: eval 850 loss:  6.58347416901961e-05
epoch :: eval 860 loss:  6.58347416901961e-05
epoch :: eval 870 loss:  6.58347416901961e-05
epoch :: eval 880 loss:  6.58347416901961e-05
epoch :: eval 890 loss:  6.58347416901961e-05
epoch :: eval 900 loss:  6.58347416901961e-05
epoch :: eval 910 loss:  6.58347416901961e-05
epoch :: eval 920 loss:  6.58347416901961e-05
epoch :: eval 930 loss:  6.58347416901961e-05
epoch :: eval 940 loss:  6.58347416901961e-05
epoch :: eval 950 loss:  6.58347416901961e-05
epoch :: eval 960 loss:  6.58347416901961e-05
epoch :: eval 970 loss:  6.58347416901961e-05
epoch :: eval 980 loss:  6.58347416901961e-05
epoch :: eval 990 loss:  6.58347416901961e-05
epoch :: eval 1000 loss:  6.58347416901961e-05
